MARCA;MODELLO;CODICE;PREZZO;TIPO UNITA';WIFI;POTENZA;UNITA' COLLEGABILI;DIMENSIONI mm (AxLxP);PESO (kg);RAFFRESCAMENTO;RISCALDAMENTO;SCHEDA TECNICA
MARCA;MODELLO;CODICE;PREZZO;TIPO UNITA';WIFI;POTENZA;UNITA' COLLEGABILI;DIMENSIONI mm (AxLxP);PESO (kg);RAFFRESCAMENTO;RISCALDAMENTO;SCHEDA TECNICA
VIESSMANN;VITOCLIMA 232S;760111;€ 850;Esterna;;5,3;2;;;;;
;;769229;€ 1.143;Esterna;;6,1;3;;;;;
;;765905;€ 1.170;Esterna;;8,2;4;;;;;
;;;;;;;;;;;;
MARCA;MODELLO;CODICE;PREZZO;TIPO UNITA';WIFI;POTENZA;DIMENSIONI mm (AxLxP);PESO (kg);SCHEDA TECNICA;;;
HAIER;REVIVE;835688;€ 135;Interna;si;2,5kW - 9000BTU;;;;;;
;;835703;€ 150;Interna;si;3,5kW - 12000BTU;;;;;;
;PEARL;836088;€ 146;Interna;si;2,5kW - 9000BTU;;;;;;
;;836090;€ 166;Interna;si;3,5kW - 12000BTU;;;;;;
;;764459;€ 259;Interna;si;5,0kW - 18000BTU;;;;;;
;;783641;€ 353;Interna;si;6,8kW - 24000BTU;;;;;;
;FLEXIS;730442;€ 266;Interna;si;2,0kW - 7000BTU;;;;;;
;;732350;€ 291;Interna;si;2,5kW - 9000BTU;;;;;;
;;736328;€ 316;Interna;si;3,5kW - 12000BTU;;;;;;
;;756534;€ 426;Interna;si;4,2kQ - 15000BTU;;;;;;
;;810406;€ 510;Interna;si;5,0kW - 18000BTU;;;;;;
;;810406;€ 609;Interna;si;7,1kW - 24000BTU;;;;;;
;;;;;;;;;;;;
MARCA;MODELLO;CODICE;PREZZO;TIPO UNITA';WIFI;POTENZA;DIMENSIONI mm (AxLxP);PESO (kg);SCHEDA TECNICA;;;
MITSUBISHI;HR;760295;€ 189;Interna;no;2,5kW - 9000BTU;;;;;;
;;760296;€ 213;Interna;no;3,5kW - 12000BTU;;;;;;
;;679857;€ 267;Interna;no;4,2kQ - 15000BTU;;;;;;
;;667317;€ 297;Interna;no;5,0kW - 18000BTU;;;;;;
;AY;834032;€ 370;Interna;si;2,0kW - 7000BTU;;;;;;
;;801940;€ 407;Interna;si;2,5kW - 9000BTU;;;;;;
;;801936;€ 419;Interna;si;3,5kW - 12000BTU;;;;;;
;;813624;€ 466;Interna;si;4,2kQ - 15000BTU;;;;;;
;;800724;€ 499;Interna;si;5,0kW - 18000BTU;;;;;;
;KIRIGAMINE STYLE;714755;€ 509;Interna;si;2,5kW - 9000BTU;;;;;;
;;714757;€ 549;Interna;si;3,5kW - 12000BTU;;;;;;
;;687306;€ 674;Interna;si;5,0kW - 18000BTU;;;;;;
;KIRIGAMINE ZEN;688038;€ 443;Interna;si;2,5kW - 9000BTU;;;;;;
;;686747;€ 467;Interna;si;3,5kW - 12000BTU;;;;;;
;;688063;€ 520;Interna;si;4,2kQ - 15000BTU;;;;;;
;;691046;€ 559;Interna;si;5,0kW - 18000BTU;;;;;;
