id;marca;modello;potenza;prezzo;prezzo_ui;prezzo_ue;wifi;dimensioni_ui;dimensioni_ue;peso_ui;peso_ue;codice_prodotto;articolo_fornitore;classe_energetica_raffrescamento;classe_energetica_riscaldamento;scheda_tecnica_url;image_url;tipo
54;SAMSUNG;WINDFREE AVANT;2,5kW - 9000BTU;756.00;423.00;333.00;Sì;229x889x215;548x790x285;10;31;UI: 878438 / UE: 878461;UI: AR70F09C1AWNEU / UE: AR70F09C1AWXEU;A+++;A++;https://samsung-climatesolutions.com/content/dam/dtnl-aem-samsung-seace/it/it-it/documents/schede-tecniche/Samsung_Scheda%20Tecnica%20WindFree%20Avant%20S2_2025.pdf;../images/windfree_avant.png;Monosplit
55;SAMSUNG;WINDFREE AVANT;3,5kW - 12000BTU;840.00;472.00;368.00;Sì;229x889x215;548x790x285;10;31;UI: 878439 / UE: 878462;UI: AR70F12C1AWNEU / UE: AR70F12C1AWXEU;A+++;A++;https://samsung-climatesolutions.com/content/dam/dtnl-aem-samsung-seace/it/it-it/documents/schede-tecniche/Samsung_Scheda%20Tecnica%20WindFree%20Avant%20S2_2025.pdf;../images/windfree_avant.png;Monosplit
56;SAMSUNG;WINDFREE AVANT;5,0kW - 18000BTU;1327.00;743.00;584.00;Sì;299x1055x215;638x880x310;12;37;UI: 878441 / UE: 878464;UI: AR70F18C1AWNEU / UE: AR70F18C1AWXEU;A++;A+;https://samsung-climatesolutions.com/content/dam/dtnl-aem-samsung-seace/it/it-it/documents/schede-tecniche/Samsung_Scheda%20Tecnica%20WindFree%20Avant%20S2_2025.pdf;../images/windfree_avant.png;Monosplit
57;SAMSUNG;WINDFREE AVANT;7,0kW - 24000BTU;1543.00;860.00;683.00;Sì;299x1055x215;638x880x310;12;37;UI: 878442 / UE: 878465;UI: AR70F24C1AWNEU / UE: AR70F24C1AWXEU;A++;A+;https://samsung-climatesolutions.com/content/dam/dtnl-aem-samsung-seace/it/it-it/documents/schede-tecniche/Samsung_Scheda%20Tecnica%20WindFree%20Avant%20S2_2025.pdf;../images/windfree_avant.png;Monosplit
58;IMMERGAS;THOR;2,5kW - 9000BTU;375.00;242.00;133.00;No;292x729x204;495x727x270;8;24;UI: 842199 / UE: 842413;UI: 3.035.031 / UE: 3.035.032;A++;A+;https://www.immergas.com/media/Prodotto/660567cc8ff9c282fc91b7e1/GOTHA_THOR_MULTI%20-%20S266.pdf;../images/thor.png;Monosplit
59;IMMERGAS;THOR;3,5kW - 12000BTU;395.00;253.00;142.00;No;296x805x205;495x727x270;9;24;UI: 842200 / UE: 842414;UI: 3.035.033 / UE: 3.035.034;A++;A+;https://www.immergas.com/media/Prodotto/660567cc8ff9c282fc91b7e1/GOTHA_THOR_MULTI%20-%20S266.pdf;../images/thor.png;Monosplit
60;VIESSMANN;VITOCLIMA 232;2,5kW - 9000BTU;540.00;;;Sì;290x865x210;555x732x330;11;27;834350;;A+++;A++;https://www.viessmann.it/content/dam/public-brands/it/prodotti/climatizzatori/vitoclima-232-s/Vitoclima%20232-S-072024-web.pdf/_jcr_content/renditions/original./Vitoclima%20232-S-072024-web.pdf;../images/vitoclima_232.png;Monosplit
61;VIESSMANN;VITOCLIMA 232;3,5kW - 12000BTU;560.00;;;Sì;290x865x210;555x802x350;11;29;836443;;A+++;A++;https://www.viessmann.it/content/dam/public-brands/it/prodotti/climatizzatori/vitoclima-232-s/Vitoclima%20232-S-072024-web.pdf/_jcr_content/renditions/original./Vitoclima%20232-S-072024-web.pdf;../images/vitoclima_232.png;Monosplit
62;VIESSMANN;VITOCLIMA 232;5,0kW - 18000BTU;800.00;;;Sì;290x865x210;660x958x402;13;42;843460;;A++;A+;https://www.viessmann.it/content/dam/public-brands/it/prodotti/climatizzatori/vitoclima-232-s/Vitoclima%20232-S-072024-web.pdf/_jcr_content/renditions/original./Vitoclima%20232-S-072024-web.pdf;../images/vitoclima_232.png;Monosplit
63;INNOVA;2.0;1,70kW - 9000BTU;1305.00;;;Sì;549x810x165;;38;;840761;C5MO09IC3II;A+;A+;https://www.innovaenergie.com/site/assets/files/2792/20_it.pdf;../images/innova_2_0.png;Monosplit
64;INNOVA;2.0;2,10kW - 10000 BTU;1305.00;;;Sì;549x1010x165;;41;;844814;C3MO10IC3II;A+;A+;https://www.innovaenergie.com/site/assets/files/2792/20_it.pdf;../images/innova_2_0.png;Monosplit
65;INNOVA;2.0;2,30kW - 12000 BTU;1410.00;;;Sì;549x1010x165;;41;;839117;C3MO12IC3II;A+;A+;https://www.innovaenergie.com/site/assets/files/2792/20_it.pdf;../images/innova_2_0.png;Monosplit
